id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
276,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
277,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
278,BD-06 1339 b,66,8.5 Earths,9.7,2013
279,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
280,BD-08 2823 b,135,12.7132 Earths,9.86,2009
281,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
282,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
283,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
284,BD-11 4672 c,89,15.37 Earths,10.03,2020
285,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
286,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
287,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
288,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
289,BD-17 63 b,112,5.1 Jupiters,9.62,2008
290,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
291,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
292,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
293,BD+20 594 b,585,22.2481 Earths,10.849,2016
294,BD-210397 b,77,0.7 Jupiters,9.84,2023
295,BD-210397 c,77,2.4 Jupiters,9.84,2023
296,BD+45 564 b,175,1.36 Jupiters,9.67,2021
297,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
298,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
299,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
300,b Centauri AB b,320,10.9 Jupiters,4.01,2021
301,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
302,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
303,BD-06 1339 b,66,8.5 Earths,9.7,2013
304,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
305,BD-08 2823 b,135,12.7132 Earths,9.86,2009
306,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
307,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
308,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
309,BD-11 4672 c,89,15.37 Earths,10.03,2020
310,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
311,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
312,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
313,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
314,BD-17 63 b,112,5.1 Jupiters,9.62,2008
315,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
316,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
317,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
318,BD+20 594 b,585,22.2481 Earths,10.849,2016
319,BD-210397 b,77,0.7 Jupiters,9.84,2023
320,BD-210397 c,77,2.4 Jupiters,9.84,2023
321,BD+45 564 b,175,1.36 Jupiters,9.67,2021
322,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
323,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
324,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
325,b Centauri AB b,320,10.9 Jupiters,4.01,2021
326,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
327,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
328,BD-06 1339 b,66,8.5 Earths,9.7,2013
329,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
330,BD-08 2823 b,135,12.7132 Earths,9.86,2009
331,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
332,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
333,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
334,BD-11 4672 c,89,15.37 Earths,10.03,2020
